minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
4,100,A区（报刊218）,136,28,108
4,101,B区（报刊222）,152,86,66
4,113,C区(新书借阅区),4,0,4
10,100,A区（报刊218）,136,31,105
10,101,B区（报刊222）,152,89,63
10,113,C区(新书借阅区),4,0,4
16,100,A区（报刊218）,136,37,99
16,101,B区（报刊222）,152,89,63
16,113,C区(新书借阅区),4,0,4
22,100,A区（报刊218）,136,38,98
22,101,B区（报刊222）,152,90,62
22,113,C区(新书借阅区),4,0,4
29,100,A区（报刊218）,136,42,94
29,101,B区（报刊222）,152,92,60
29,113,C区(新书借阅区),4,0,4
35,100,A区（报刊218）,136,45,91
35,101,B区（报刊222）,152,95,57
35,113,C区(新书借阅区),4,0,4
42,100,A区（报刊218）,136,51,85
42,101,B区（报刊222）,152,97,55
42,113,C区(新书借阅区),4,0,4
49,100,A区（报刊218）,136,52,84
49,101,B区（报刊222）,152,103,49
49,113,C区(新书借阅区),4,0,4
55,100,A区（报刊218）,136,54,82
55,101,B区（报刊222）,152,107,45
55,113,C区(新书借阅区),4,0,4
61,100,A区（报刊218）,136,58,78
61,101,B区（报刊222）,152,110,42
61,113,C区(新书借阅区),4,0,4
67,100,A区（报刊218）,136,64,72
67,101,B区（报刊222）,152,117,35
67,113,C区(新书借阅区),4,0,4
73,100,A区（报刊218）,136,69,67
73,101,B区（报刊222）,152,118,34
73,113,C区(新书借阅区),4,0,4
79,100,A区（报刊218）,136,70,66
79,101,B区（报刊222）,152,118,34
79,113,C区(新书借阅区),4,0,4
85,100,A区（报刊218）,136,71,65
85,101,B区（报刊222）,152,124,28
85,113,C区(新书借阅区),4,0,4
91,100,A区（报刊218）,136,73,63
91,101,B区（报刊222）,152,124,28
91,113,C区(新书借阅区),4,0,4
97,100,A区（报刊218）,136,73,63
97,101,B区（报刊222）,152,132,20
97,113,C区(新书借阅区),4,0,4
103,100,A区（报刊218）,136,75,61
103,101,B区（报刊222）,152,132,20
103,113,C区(新书借阅区),4,0,4
109,100,A区（报刊218）,136,77,59
109,101,B区（报刊222）,152,137,15
109,113,C区(新书借阅区),4,0,4
115,100,A区（报刊218）,136,78,58
115,101,B区（报刊222）,152,141,11
115,113,C区(新书借阅区),4,0,4
121,100,A区（报刊218）,136,80,56
121,101,B区（报刊222）,152,141,11
121,113,C区(新书借阅区),4,0,4
127,100,A区（报刊218）,136,81,55
127,101,B区（报刊222）,152,142,10
127,113,C区(新书借阅区),4,0,4
133,100,A区（报刊218）,136,84,52
133,101,B区（报刊222）,152,141,11
133,113,C区(新书借阅区),4,0,4
139,100,A区（报刊218）,136,87,49
139,101,B区（报刊222）,152,144,8
139,113,C区(新书借阅区),4,0,4
145,100,A区（报刊218）,136,86,50
145,101,B区（报刊222）,152,145,7
145,113,C区(新书借阅区),4,0,4
151,100,A区（报刊218）,136,86,50
151,101,B区（报刊222）,152,147,5
151,113,C区(新书借阅区),4,0,4
157,100,A区（报刊218）,136,87,49
157,101,B区（报刊222）,152,147,5
157,113,C区(新书借阅区),4,0,4
