minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
80,100,A区（报刊218）,136,8,128
80,101,B区（报刊222）,152,11,141
80,113,C区(新书借阅区),4,0,4
172,100,A区（报刊218）,136,16,120
172,101,B区（报刊222）,152,14,138
172,113,C区(新书借阅区),4,0,4
288,100,A区（报刊218）,136,17,119
288,101,B区（报刊222）,152,19,133
288,113,C区(新书借阅区),4,0,4
351,100,A区（报刊218）,136,23,113
351,101,B区（报刊222）,152,23,129
351,113,C区(新书借阅区),4,0,4
405,100,A区（报刊218）,136,25,111
405,101,B区（报刊222）,152,23,129
405,113,C区(新书借阅区),4,0,4
463,100,A区（报刊218）,136,25,111
463,101,B区（报刊222）,152,23,129
463,113,C区(新书借阅区),4,0,4
512,100,A区（报刊218）,136,24,112
512,101,B区（报刊222）,152,22,130
512,113,C区(新书借阅区),4,0,4
572,100,A区（报刊218）,136,24,112
572,101,B区（报刊222）,152,20,132
572,113,C区(新书借阅区),4,0,4
