minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
2,100,A区（报刊218）,136,32,104
2,101,B区（报刊222）,152,72,80
2,113,C区(新书借阅区),4,3,1
7,100,A区（报刊218）,136,33,103
7,101,B区（报刊222）,152,72,80
7,113,C区(新书借阅区),4,3,1
12,100,A区（报刊218）,136,34,102
12,101,B区（报刊222）,152,73,79
12,113,C区(新书借阅区),4,3,1
17,100,A区（报刊218）,136,36,100
17,101,B区（报刊222）,152,75,77
17,113,C区(新书借阅区),4,3,1
22,100,A区（报刊218）,136,39,97
22,101,B区（报刊222）,152,75,77
22,113,C区(新书借阅区),4,3,1
26,100,A区（报刊218）,136,39,97
26,101,B区（报刊222）,152,79,73
26,113,C区(新书借阅区),4,3,1
31,100,A区（报刊218）,136,38,98
31,101,B区（报刊222）,152,77,75
31,113,C区(新书借阅区),4,2,2
36,100,A区（报刊218）,136,39,97
36,101,B区（报刊222）,152,81,71
36,113,C区(新书借阅区),4,3,1
41,100,A区（报刊218）,136,40,96
41,101,B区（报刊222）,152,85,67
41,113,C区(新书借阅区),4,3,1
46,100,A区（报刊218）,136,44,92
46,101,B区（报刊222）,152,87,65
46,113,C区(新书借阅区),4,3,1
51,100,A区（报刊218）,136,48,88
51,101,B区（报刊222）,152,90,62
51,113,C区(新书借阅区),4,3,1
56,100,A区（报刊218）,136,53,83
56,101,B区（报刊222）,152,91,61
56,113,C区(新书借阅区),4,3,1
61,100,A区（报刊218）,136,61,75
61,101,B区（报刊222）,152,94,58
61,113,C区(新书借阅区),4,3,1
65,100,A区（报刊218）,136,64,72
65,101,B区（报刊222）,152,96,56
65,113,C区(新书借阅区),4,3,1
70,100,A区（报刊218）,136,67,69
70,101,B区（报刊222）,152,98,54
70,113,C区(新书借阅区),4,3,1
75,100,A区（报刊218）,136,70,66
75,101,B区（报刊222）,152,100,52
75,113,C区(新书借阅区),4,3,1
80,100,A区（报刊218）,136,72,64
80,101,B区（报刊222）,152,101,51
80,113,C区(新书借阅区),4,3,1
85,100,A区（报刊218）,136,74,62
85,101,B区（报刊222）,152,104,48
85,113,C区(新书借阅区),4,3,1
89,100,A区（报刊218）,136,78,58
89,101,B区（报刊222）,152,105,47
89,113,C区(新书借阅区),4,3,1
94,100,A区（报刊218）,136,79,57
94,101,B区（报刊222）,152,106,46
94,113,C区(新书借阅区),4,3,1
99,100,A区（报刊218）,136,79,57
99,101,B区（报刊222）,152,106,46
99,113,C区(新书借阅区),4,3,1
103,100,A区（报刊218）,136,79,57
103,101,B区（报刊222）,152,107,45
103,113,C区(新书借阅区),4,3,1
108,100,A区（报刊218）,136,82,54
108,101,B区（报刊222）,152,112,40
108,113,C区(新书借阅区),4,3,1
112,100,A区（报刊218）,136,82,54
112,101,B区（报刊222）,152,112,40
112,113,C区(新书借阅区),4,4,0
117,100,A区（报刊218）,136,83,53
117,101,B区（报刊222）,152,112,40
117,113,C区(新书借阅区),4,4,0
122,100,A区（报刊218）,136,84,52
122,101,B区（报刊222）,152,111,41
122,113,C区(新书借阅区),4,4,0
126,100,A区（报刊218）,136,84,52
126,101,B区（报刊222）,152,112,40
126,113,C区(新书借阅区),4,4,0
131,100,A区（报刊218）,136,85,51
131,101,B区（报刊222）,152,112,40
131,113,C区(新书借阅区),4,3,1
136,100,A区（报刊218）,136,87,49
136,101,B区（报刊222）,152,113,39
136,113,C区(新书借阅区),4,3,1
141,100,A区（报刊218）,136,88,48
141,101,B区（报刊222）,152,113,39
141,113,C区(新书借阅区),4,3,1
146,100,A区（报刊218）,136,89,47
146,101,B区（报刊222）,152,113,39
146,113,C区(新书借阅区),4,3,1
150,100,A区（报刊218）,136,90,46
150,101,B区（报刊222）,152,115,37
150,113,C区(新书借阅区),4,3,1
155,100,A区（报刊218）,136,89,47
155,101,B区（报刊222）,152,116,36
155,113,C区(新书借阅区),4,3,1
160,100,A区（报刊218）,136,89,47
160,101,B区（报刊222）,152,117,35
160,113,C区(新书借阅区),4,3,1
164,100,A区（报刊218）,136,89,47
164,101,B区（报刊222）,152,117,35
164,113,C区(新书借阅区),4,4,0
169,100,A区（报刊218）,136,91,45
169,101,B区（报刊222）,152,117,35
169,113,C区(新书借阅区),4,4,0
174,100,A区（报刊218）,136,91,45
174,101,B区（报刊222）,152,117,35
174,113,C区(新书借阅区),4,4,0
179,100,A区（报刊218）,136,91,45
179,101,B区（报刊222）,152,117,35
179,113,C区(新书借阅区),4,4,0
183,100,A区（报刊218）,136,91,45
183,101,B区（报刊222）,152,115,37
183,113,C区(新书借阅区),4,4,0
188,100,A区（报刊218）,136,91,45
188,101,B区（报刊222）,152,115,37
188,113,C区(新书借阅区),4,4,0
193,100,A区（报刊218）,136,91,45
193,101,B区（报刊222）,152,117,35
193,113,C区(新书借阅区),4,4,0
198,100,A区（报刊218）,136,92,44
198,101,B区（报刊222）,152,117,35
198,113,C区(新书借阅区),4,4,0
203,100,A区（报刊218）,136,91,45
203,101,B区（报刊222）,152,116,36
203,113,C区(新书借阅区),4,4,0
208,100,A区（报刊218）,136,90,46
208,101,B区（报刊222）,152,116,36
208,113,C区(新书借阅区),4,4,0
212,100,A区（报刊218）,136,90,46
212,101,B区（报刊222）,152,116,36
212,113,C区(新书借阅区),4,4,0
217,100,A区（报刊218）,136,90,46
217,101,B区（报刊222）,152,115,37
217,113,C区(新书借阅区),4,4,0
222,100,A区（报刊218）,136,90,46
222,101,B区（报刊222）,152,116,36
222,113,C区(新书借阅区),4,4,0
227,100,A区（报刊218）,136,90,46
227,101,B区（报刊222）,152,117,35
227,113,C区(新书借阅区),4,4,0
231,100,A区（报刊218）,136,90,46
231,101,B区（报刊222）,152,117,35
231,113,C区(新书借阅区),4,4,0
236,100,A区（报刊218）,136,90,46
236,101,B区（报刊222）,152,117,35
