minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
53,100,A区（报刊218）,136,21,115
53,101,B区（报刊222）,152,44,108
53,113,C区(新书借阅区),4,0,4
146,100,A区（报刊218）,136,45,91
146,101,B区（报刊222）,152,95,57
146,113,C区(新书借阅区),4,0,4
233,100,A区（报刊218）,136,50,86
233,101,B区（报刊222）,152,98,54
233,113,C区(新书借阅区),4,0,4
277,100,A区（报刊218）,136,56,80
277,101,B区（报刊222）,152,111,41
277,113,C区(新书借阅区),4,0,4
305,100,A区（报刊218）,136,60,76
305,101,B区（报刊222）,152,119,33
305,113,C区(新书借阅区),4,0,4
341,100,A区（报刊218）,136,65,71
341,101,B区（报刊222）,152,123,29
341,113,C区(新书借阅区),4,0,4
358,100,A区（报刊218）,136,67,69
358,101,B区（报刊222）,152,127,25
358,113,C区(新书借阅区),4,0,4
407,100,A区（报刊218）,136,82,54
407,101,B区（报刊222）,152,139,13
407,113,C区(新书借阅区),4,0,4
436,100,A区（报刊218）,136,88,48
436,101,B区（报刊222）,152,144,8
436,113,C区(新书借阅区),4,0,4
