minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
53,100,A区（报刊218）,136,21,115
53,101,B区（报刊222）,152,44,108
53,113,C区(新书借阅区),4,0,4
146,100,A区（报刊218）,136,45,91
146,101,B区（报刊222）,152,95,57
146,113,C区(新书借阅区),4,0,4
233,100,A区（报刊218）,136,50,86
233,101,B区（报刊222）,152,98,54
233,113,C区(新书借阅区),4,0,4
277,100,A区（报刊218）,136,56,80
277,101,B区（报刊222）,152,111,41
277,113,C区(新书借阅区),4,0,4
305,100,A区（报刊218）,136,60,76
305,101,B区（报刊222）,152,119,33
305,113,C区(新书借阅区),4,0,4
341,100,A区（报刊218）,136,65,71
341,101,B区（报刊222）,152,123,29
341,113,C区(新书借阅区),4,0,4
358,100,A区（报刊218）,136,67,69
358,101,B区（报刊222）,152,127,25
358,113,C区(新书借阅区),4,0,4
407,100,A区（报刊218）,136,82,54
407,101,B区（报刊222）,152,139,13
407,113,C区(新书借阅区),4,0,4
436,100,A区（报刊218）,136,88,48
436,101,B区（报刊222）,152,144,8
436,113,C区(新书借阅区),4,0,4
464,100,A区（报刊218）,136,84,52
464,101,B区（报刊222）,152,141,11
464,113,C区(新书借阅区),4,0,4
478,100,A区（报刊218）,136,87,49
478,101,B区（报刊222）,152,142,10
478,113,C区(新书借阅区),4,0,4
523,100,A区（报刊218）,136,90,46
523,101,B区（报刊222）,152,142,10
523,113,C区(新书借阅区),4,0,4
547,100,A区（报刊218）,136,91,45
547,101,B区（报刊222）,152,139,13
547,113,C区(新书借阅区),4,0,4
582,100,A区（报刊218）,136,85,51
582,101,B区（报刊222）,152,134,18
582,113,C区(新书借阅区),4,0,4
599,100,A区（报刊218）,136,82,54
599,101,B区（报刊222）,152,126,26
599,113,C区(新书借阅区),4,0,4
637,100,A区（报刊218）,136,80,56
637,101,B区（报刊222）,152,119,33
637,113,C区(新书借阅区),4,0,4
657,100,A区（报刊218）,136,79,57
657,101,B区（报刊222）,152,116,36
657,113,C区(新书借阅区),4,0,4
688,100,A区（报刊218）,136,76,60
688,101,B区（报刊222）,152,115,37
688,113,C区(新书借阅区),4,0,4
707,100,A区（报刊218）,136,74,62
707,101,B区（报刊222）,152,113,39
707,113,C区(新书借阅区),4,0,4
720,100,A区（报刊218）,136,73,63
720,101,B区（报刊222）,152,115,37
720,113,C区(新书借阅区),4,0,4
786,100,A区（报刊218）,136,66,70
786,101,B区（报刊222）,152,99,53
786,113,C区(新书借阅区),4,0,4
