minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
61,100,A区（报刊218）,136,24,112
61,101,B区（报刊222）,152,45,107
61,113,C区(新书借阅区),4,0,4
146,100,A区（报刊218）,136,41,95
146,101,B区（报刊222）,152,90,62
146,113,C区(新书借阅区),4,0,4
233,100,A区（报刊218）,136,41,95
233,101,B区（报刊222）,152,93,59
233,113,C区(新书借阅区),4,0,4
276,100,A区（报刊218）,136,40,96
276,101,B区（报刊222）,152,97,55
276,113,C区(新书借阅区),4,0,4
303,100,A区（报刊218）,136,45,91
303,101,B区（报刊222）,152,97,55
303,113,C区(新书借阅区),4,0,4
340,100,A区（报刊218）,136,44,92
340,101,B区（报刊222）,152,101,51
340,113,C区(新书借阅区),4,0,4
358,100,A区（报刊218）,136,47,89
358,101,B区（报刊222）,152,102,50
358,113,C区(新书借阅区),4,0,4
406,100,A区（报刊218）,136,55,81
406,101,B区（报刊222）,152,113,39
406,113,C区(新书借阅区),4,0,4
425,100,A区（报刊218）,136,56,80
425,101,B区（报刊222）,152,118,34
425,113,C区(新书借阅区),4,0,4
457,100,A区（报刊218）,136,62,74
457,101,B区（报刊222）,152,120,32
457,113,C区(新书借阅区),4,0,4
474,100,A区（报刊218）,136,66,70
474,101,B区（报刊222）,152,122,30
474,113,C区(新书借阅区),4,0,4
510,100,A区（报刊218）,136,69,67
510,101,B区（报刊222）,152,123,29
510,113,C区(新书借阅区),4,0,4
540,100,A区（报刊218）,136,66,70
540,101,B区（报刊222）,152,126,26
540,113,C区(新书借阅区),4,0,4
580,100,A区（报刊218）,136,61,75
580,101,B区（报刊222）,152,112,40
580,113,C区(新书借阅区),4,0,4
600,100,A区（报刊218）,136,63,73
600,101,B区（报刊222）,152,109,43
600,113,C区(新书借阅区),4,0,4
637,100,A区（报刊218）,136,63,73
637,101,B区（报刊222）,152,111,41
637,113,C区(新书借阅区),4,0,4
658,100,A区（报刊218）,136,66,70
658,101,B区（报刊222）,152,108,44
658,113,C区(新书借阅区),4,0,4
690,100,A区（报刊218）,136,68,68
690,101,B区（报刊222）,152,110,42
690,113,C区(新书借阅区),4,0,4
709,100,A区（报刊218）,136,70,66
709,101,B区（报刊222）,152,112,40
709,113,C区(新书借阅区),4,0,4
722,100,A区（报刊218）,136,68,68
722,101,B区（报刊222）,152,110,42
722,113,C区(新书借阅区),4,0,4
788,100,A区（报刊218）,136,58,78
788,101,B区（报刊222）,152,97,55
788,113,C区(新书借阅区),4,0,4
834,100,A区（报刊218）,136,39,97
834,101,B区（报刊222）,152,67,85
834,113,C区(新书借阅区),4,0,4
