minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
4,100,A区（报刊218）,136,30,106
4,101,B区（报刊222）,152,82,70
4,113,C区(新书借阅区),4,0,4
11,100,A区（报刊218）,136,33,103
11,101,B区（报刊222）,152,84,68
11,113,C区(新书借阅区),4,0,4
17,100,A区（报刊218）,136,35,101
17,101,B区（报刊222）,152,88,64
17,113,C区(新书借阅区),4,0,4
24,100,A区（报刊218）,136,39,97
24,101,B区（报刊222）,152,93,59
24,113,C区(新书借阅区),4,0,4
30,100,A区（报刊218）,136,49,87
30,101,B区（报刊222）,152,96,56
30,113,C区(新书借阅区),4,0,4
36,100,A区（报刊218）,136,57,79
36,101,B区（报刊222）,152,98,54
36,113,C区(新书借阅区),4,0,4
42,100,A区（报刊218）,136,59,77
42,101,B区（报刊222）,152,101,51
42,113,C区(新书借阅区),4,0,4
49,100,A区（报刊218）,136,61,75
49,101,B区（报刊222）,152,103,49
49,113,C区(新书借阅区),4,0,4
55,100,A区（报刊218）,136,64,72
55,101,B区（报刊222）,152,106,46
55,113,C区(新书借阅区),4,0,4
