minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
4,100,A区（报刊218）,136,37,99
4,101,B区（报刊222）,152,80,72
4,113,C区(新书借阅区),4,0,4
10,100,A区（报刊218）,136,38,98
10,101,B区（报刊222）,152,84,68
10,113,C区(新书借阅区),4,0,4
16,100,A区（报刊218）,136,38,98
16,101,B区（报刊222）,152,85,67
16,113,C区(新书借阅区),4,0,4
21,100,A区（报刊218）,136,41,95
21,101,B区（报刊222）,152,87,65
21,113,C区(新书借阅区),4,0,4
27,100,A区（报刊218）,136,44,92
27,101,B区（报刊222）,152,87,65
27,113,C区(新书借阅区),4,0,4
33,100,A区（报刊218）,136,46,90
33,101,B区（报刊222）,152,87,65
33,113,C区(新书借阅区),4,0,4
39,100,A区（报刊218）,136,49,87
39,101,B区（报刊222）,152,92,60
39,113,C区(新书借阅区),4,0,4
45,100,A区（报刊218）,136,52,84
45,101,B区（报刊222）,152,95,57
45,113,C区(新书借阅区),4,0,4
51,100,A区（报刊218）,136,57,79
51,101,B区（报刊222）,152,99,53
51,113,C区(新书借阅区),4,0,4
57,100,A区（报刊218）,136,60,76
57,101,B区（报刊222）,152,103,49
57,113,C区(新书借阅区),4,0,4
63,100,A区（报刊218）,136,61,75
63,101,B区（报刊222）,152,105,47
63,113,C区(新书借阅区),4,0,4
69,100,A区（报刊218）,136,67,69
69,101,B区（报刊222）,152,109,43
69,113,C区(新书借阅区),4,0,4
75,100,A区（报刊218）,136,74,62
75,101,B区（报刊222）,152,114,38
75,113,C区(新书借阅区),4,0,4
81,100,A区（报刊218）,136,75,61
81,101,B区（报刊222）,152,120,32
81,113,C区(新书借阅区),4,0,4
87,100,A区（报刊218）,136,76,60
87,101,B区（报刊222）,152,123,29
87,113,C区(新书借阅区),4,0,4
93,100,A区（报刊218）,136,76,60
93,101,B区（报刊222）,152,126,26
93,113,C区(新书借阅区),4,0,4
99,100,A区（报刊218）,136,78,58
99,101,B区（报刊222）,152,131,21
99,113,C区(新书借阅区),4,0,4
106,100,A区（报刊218）,136,80,56
106,101,B区（报刊222）,152,133,19
106,113,C区(新书借阅区),4,0,4
111,100,A区（报刊218）,136,84,52
111,101,B区（报刊222）,152,134,18
111,113,C区(新书借阅区),4,0,4
117,100,A区（报刊218）,136,88,48
117,101,B区（报刊222）,152,138,14
117,113,C区(新书借阅区),4,0,4
123,100,A区（报刊218）,136,89,47
123,101,B区（报刊222）,152,141,11
123,113,C区(新书借阅区),4,0,4
129,100,A区（报刊218）,136,91,45
129,101,B区（报刊222）,152,141,11
129,113,C区(新书借阅区),4,0,4
135,100,A区（报刊218）,136,93,43
135,101,B区（报刊222）,152,143,9
135,113,C区(新书借阅区),4,0,4
141,100,A区（报刊218）,136,93,43
141,101,B区（报刊222）,152,144,8
141,113,C区(新书借阅区),4,0,4
144,100,A区（报刊218）,136,93,43
144,101,B区（报刊222）,152,144,8
144,113,C区(新书借阅区),4,0,4
149,100,A区（报刊218）,136,93,43
149,101,B区（报刊222）,152,144,8
149,113,C区(新书借阅区),4,0,4
155,100,A区（报刊218）,136,94,42
155,101,B区（报刊222）,152,145,7
155,113,C区(新书借阅区),4,0,4
162,100,A区（报刊218）,136,95,41
162,101,B区（报刊222）,152,145,7
162,113,C区(新书借阅区),4,0,4
168,100,A区（报刊218）,136,95,41
168,101,B区（报刊222）,152,145,7
168,113,C区(新书借阅区),4,0,4
174,100,A区（报刊218）,136,94,42
174,101,B区（报刊222）,152,146,6
174,113,C区(新书借阅区),4,0,4
180,100,A区（报刊218）,136,94,42
180,101,B区（报刊222）,152,146,6
180,113,C区(新书借阅区),4,0,4
185,100,A区（报刊218）,136,93,43
185,101,B区（报刊222）,152,147,5
185,113,C区(新书借阅区),4,0,4
191,100,A区（报刊218）,136,93,43
191,101,B区（报刊222）,152,148,4
191,113,C区(新书借阅区),4,0,4
198,100,A区（报刊218）,136,93,43
198,101,B区（报刊222）,152,146,6
198,113,C区(新书借阅区),4,0,4
205,100,A区（报刊218）,136,91,45
205,101,B区（报刊222）,152,145,7
205,113,C区(新书借阅区),4,0,4
211,100,A区（报刊218）,136,91,45
211,101,B区（报刊222）,152,146,6
211,113,C区(新书借阅区),4,0,4
216,100,A区（报刊218）,136,91,45
216,101,B区（报刊222）,152,145,7
216,113,C区(新书借阅区),4,0,4
222,100,A区（报刊218）,136,91,45
222,101,B区（报刊222）,152,145,7
222,113,C区(新书借阅区),4,0,4
228,100,A区（报刊218）,136,91,45
228,101,B区（报刊222）,152,145,7
228,113,C区(新书借阅区),4,0,4
234,100,A区（报刊218）,136,94,42
234,101,B区（报刊222）,152,145,7
234,113,C区(新书借阅区),4,0,4
