minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
7,100,A区（报刊218）,136,30,106
7,101,B区（报刊222）,152,63,89
7,113,C区(新书借阅区),4,3,1
9,100,A区（报刊218）,136,32,104
9,101,B区（报刊222）,152,63,89
9,113,C区(新书借阅区),4,3,1
11,100,A区（报刊218）,136,34,102
11,101,B区（报刊222）,152,62,90
11,113,C区(新书借阅区),4,3,1
13,100,A区（报刊218）,136,34,102
13,101,B区（报刊222）,152,62,90
13,113,C区(新书借阅区),4,3,1
15,100,A区（报刊218）,136,34,102
15,101,B区（报刊222）,152,62,90
15,113,C区(新书借阅区),4,3,1
17,100,A区（报刊218）,136,34,102
17,101,B区（报刊222）,152,62,90
17,113,C区(新书借阅区),4,3,1
19,100,A区（报刊218）,136,34,102
19,101,B区（报刊222）,152,63,89
19,113,C区(新书借阅区),4,3,1
21,100,A区（报刊218）,136,35,101
21,101,B区（报刊222）,152,64,88
21,113,C区(新书借阅区),4,3,1
23,100,A区（报刊218）,136,36,100
23,101,B区（报刊222）,152,64,88
23,113,C区(新书借阅区),4,3,1
25,100,A区（报刊218）,136,36,100
25,101,B区（报刊222）,152,64,88
25,113,C区(新书借阅区),4,3,1
27,100,A区（报刊218）,136,38,98
27,101,B区（报刊222）,152,67,85
27,113,C区(新书借阅区),4,3,1
29,100,A区（报刊218）,136,39,97
29,101,B区（报刊222）,152,67,85
29,113,C区(新书借阅区),4,3,1
31,100,A区（报刊218）,136,38,98
31,101,B区（报刊222）,152,65,87
31,113,C区(新书借阅区),4,2,2
33,100,A区（报刊218）,136,39,97
33,101,B区（报刊222）,152,67,85
33,113,C区(新书借阅区),4,2,2
35,100,A区（报刊218）,136,40,96
35,101,B区（报刊222）,152,67,85
35,113,C区(新书借阅区),4,2,2
37,100,A区（报刊218）,136,40,96
37,101,B区（报刊222）,152,67,85
37,113,C区(新书借阅区),4,2,2
39,100,A区（报刊218）,136,41,95
39,101,B区（报刊222）,152,70,82
39,113,C区(新书借阅区),4,2,2
