minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
0,100,A区（报刊218）,136,50,86
0,101,B区（报刊222）,152,110,42
0,113,C区(新书借阅区),4,4,0
4,100,A区（报刊218）,136,54,82
4,101,B区（报刊222）,152,116,36
4,113,C区(新书借阅区),4,4,0
6,100,A区（报刊218）,136,55,81
6,101,B区（报刊222）,152,116,36
6,113,C区(新书借阅区),4,4,0
6,100,A区（报刊218）,136,56,80
6,101,B区（报刊222）,152,117,35
6,113,C区(新书借阅区),4,4,0
8,100,A区（报刊218）,136,57,79
8,101,B区（报刊222）,152,118,34
8,113,C区(新书借阅区),4,4,0
10,100,A区（报刊218）,136,58,78
10,101,B区（报刊222）,152,118,34
10,113,C区(新书借阅区),4,4,0
12,100,A区（报刊218）,136,58,78
12,101,B区（报刊222）,152,122,30
12,113,C区(新书借阅区),4,4,0
14,100,A区（报刊218）,136,61,75
14,101,B区（报刊222）,152,123,29
14,113,C区(新书借阅区),4,4,0
16,100,A区（报刊218）,136,66,70
16,101,B区（报刊222）,152,124,28
16,113,C区(新书借阅区),4,4,0
18,100,A区（报刊218）,136,68,68
18,101,B区（报刊222）,152,123,29
18,113,C区(新书借阅区),4,4,0
20,100,A区（报刊218）,136,73,63
20,101,B区（报刊222）,152,123,29
20,113,C区(新书借阅区),4,4,0
22,100,A区（报刊218）,136,75,61
22,101,B区（报刊222）,152,125,27
22,113,C区(新书借阅区),4,4,0
24,100,A区（报刊218）,136,77,59
24,101,B区（报刊222）,152,128,24
24,113,C区(新书借阅区),4,4,0
26,100,A区（报刊218）,136,78,58
26,101,B区（报刊222）,152,132,20
26,113,C区(新书借阅区),4,4,0
28,100,A区（报刊218）,136,78,58
28,101,B区（报刊222）,152,132,20
28,113,C区(新书借阅区),4,4,0
30,100,A区（报刊218）,136,83,53
30,101,B区（报刊222）,152,133,19
30,113,C区(新书借阅区),4,4,0
32,100,A区（报刊218）,136,81,55
32,101,B区（报刊222）,152,131,21
32,113,C区(新书借阅区),4,4,0
34,100,A区（报刊218）,136,82,54
34,101,B区（报刊222）,152,134,18
34,113,C区(新书借阅区),4,4,0
36,100,A区（报刊218）,136,83,53
36,101,B区（报刊222）,152,135,17
36,113,C区(新书借阅区),4,4,0
39,100,A区（报刊218）,136,87,49
39,101,B区（报刊222）,152,137,15
39,113,C区(新书借阅区),4,4,0
40,100,A区（报刊218）,136,87,49
40,101,B区（报刊222）,152,139,13
40,113,C区(新书借阅区),4,4,0
42,100,A区（报刊218）,136,91,45
42,101,B区（报刊222）,152,140,12
42,113,C区(新书借阅区),4,4,0
45,100,A区（报刊218）,136,95,41
45,101,B区（报刊222）,152,142,10
45,113,C区(新书借阅区),4,4,0
46,100,A区（报刊218）,136,98,38
46,101,B区（报刊222）,152,143,9
46,113,C区(新书借阅区),4,4,0
48,100,A区（报刊218）,136,101,35
48,101,B区（报刊222）,152,144,8
48,113,C区(新书借阅区),4,4,0
50,100,A区（报刊218）,136,101,35
50,101,B区（报刊222）,152,146,6
50,113,C区(新书借阅区),4,4,0
52,100,A区（报刊218）,136,102,34
52,101,B区（报刊222）,152,147,5
52,113,C区(新书借阅区),4,4,0
54,100,A区（报刊218）,136,102,34
54,101,B区（报刊222）,152,149,3
54,113,C区(新书借阅区),4,4,0
56,100,A区（报刊218）,136,103,33
56,101,B区（报刊222）,152,151,1
56,113,C区(新书借阅区),4,4,0
58,100,A区（报刊218）,136,104,32
58,101,B区（报刊222）,152,151,1
58,113,C区(新书借阅区),4,4,0
60,100,A区（报刊218）,136,107,29
60,101,B区（报刊222）,152,152,0
60,113,C区(新书借阅区),4,4,0
62,100,A区（报刊218）,136,110,26
62,101,B区（报刊222）,152,152,0
62,113,C区(新书借阅区),4,4,0
64,100,A区（报刊218）,136,110,26
64,101,B区（报刊222）,152,152,0
64,113,C区(新书借阅区),4,4,0
66,100,A区（报刊218）,136,114,22
66,101,B区（报刊222）,152,152,0
66,113,C区(新书借阅区),4,4,0
68,100,A区（报刊218）,136,113,23
68,101,B区（报刊222）,152,152,0
68,113,C区(新书借阅区),4,4,0
71,100,A区（报刊218）,136,116,20
71,101,B区（报刊222）,152,152,0
71,113,C区(新书借阅区),4,4,0
72,100,A区（报刊218）,136,118,18
72,101,B区（报刊222）,152,152,0
72,113,C区(新书借阅区),4,4,0
74,100,A区（报刊218）,136,118,18
74,101,B区（报刊222）,152,152,0
74,113,C区(新书借阅区),4,4,0
