minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
2,100,A区（报刊218）,136,40,96
2,101,B区（报刊222）,152,80,72
2,113,C区(新书借阅区),4,4,0
4,100,A区（报刊218）,136,38,98
4,101,B区（报刊222）,152,81,71
4,113,C区(新书借阅区),4,4,0
5,100,A区（报刊218）,136,38,98
5,101,B区（报刊222）,152,82,70
5,113,C区(新书借阅区),4,4,0
7,100,A区（报刊218）,136,38,98
7,101,B区（报刊222）,152,83,69
7,113,C区(新书借阅区),4,4,0
10,100,A区（报刊218）,136,39,97
10,101,B区（报刊222）,152,83,69
10,113,C区(新书借阅区),4,4,0
11,100,A区（报刊218）,136,40,96
11,101,B区（报刊222）,152,84,68
11,113,C区(新书借阅区),4,4,0
14,100,A区（报刊218）,136,43,93
14,101,B区（报刊222）,152,85,67
14,113,C区(新书借阅区),4,4,0
16,100,A区（报刊218）,136,44,92
16,101,B区（报刊222）,152,85,67
16,113,C区(新书借阅区),4,4,0
18,100,A区（报刊218）,136,46,90
18,101,B区（报刊222）,152,87,65
18,113,C区(新书借阅区),4,4,0
20,100,A区（报刊218）,136,46,90
20,101,B区（报刊222）,152,88,64
20,113,C区(新书借阅区),4,4,0
22,100,A区（报刊218）,136,47,89
22,101,B区（报刊222）,152,89,63
22,113,C区(新书借阅区),4,4,0
24,100,A区（报刊218）,136,47,89
24,101,B区（报刊222）,152,91,61
24,113,C区(新书借阅区),4,4,0
25,100,A区（报刊218）,136,50,86
25,101,B区（报刊222）,152,93,59
25,113,C区(新书借阅区),4,4,0
27,100,A区（报刊218）,136,52,84
27,101,B区（报刊222）,152,96,56
27,113,C区(新书借阅区),4,4,0
29,100,A区（报刊218）,136,54,82
29,101,B区（报刊222）,152,100,52
29,113,C区(新书借阅区),4,4,0
32,100,A区（报刊218）,136,55,81
32,101,B区（报刊222）,152,101,51
32,113,C区(新书借阅区),4,3,1
34,100,A区（报刊218）,136,55,81
34,101,B区（报刊222）,152,101,51
34,113,C区(新书借阅区),4,3,1
35,100,A区（报刊218）,136,56,80
35,101,B区（报刊222）,152,101,51
35,113,C区(新书借阅区),4,3,1
38,100,A区（报刊218）,136,56,80
38,101,B区（报刊222）,152,102,50
38,113,C区(新书借阅区),4,3,1
39,100,A区（报刊218）,136,56,80
39,101,B区（报刊222）,152,102,50
39,113,C区(新书借阅区),4,3,1
41,100,A区（报刊218）,136,56,80
41,101,B区（报刊222）,152,103,49
41,113,C区(新书借阅区),4,3,1
43,100,A区（报刊218）,136,57,79
43,101,B区（报刊222）,152,105,47
43,113,C区(新书借阅区),4,3,1
45,100,A区（报刊218）,136,60,76
45,101,B区（报刊222）,152,107,45
